no,judul,sumber,tanggal,snippet,deskripsi,jumlah_kata,link,thumbnail,ikon_sumber,cluster_topik,status_fetch,waktu_scrape,text_raw,clean_text,processed_text,sentiment,cluster
1,"Soal Makan Bergizi Gratis, Marinus Gea Minta BGN Tak Rangkap Jadi Regulator, Pelaksana, dan Pengawas",mpr.go.id,"06/23/2026, 05:40 AM, +0000 UTC",,,0,https://www.mpr.go.id/berita/marinus-gea-dorong-check-and-balance-program-makan-bergizi-gratis,https://www.mpr.go.id/img/blog-image/6a3a1c6b2a02e.jpg,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.mpr.go.id&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,error,2026-06-23 07:37:15,"Soal Makan Bergizi Gratis, Marinus Gea Minta BGN Tak Rangkap Jadi Regulator, Pelaksana, dan Pengawas",soal makan bergizi gratis marinus gea minta bgn tak rangkap jadi regulator pelaksana dan pengawas,soal marinus gea minta bgn tak rangkap jadi regulator laksana awas,Netral,2
2,"Libur Sekolah, Wabup Batang Evaluasi Perizinan dan Sanitasi Program MBG",Pemerintah Kabupaten Batang,"06/23/2026, 07:28 AM, +0000 UTC",,"Batang – Masa libur sekolah menjadi momentum krusial bagi Pemerintah Kabupaten Batang untuk membenahi karut-marut pelaksanaan Program Makan Bergizi Gratis (MBG). Satgas MBG Kabupaten Batang membidik evaluasi total terhadap operasional Satuan Pelayanan Pemenuhan Gizi (SPPG), mulai dari masalah perizinan, standar sanitasi, hingga penghentian operasional belasan unit SPPG. Wakil Bupati Batang sekaligus Ketua Satgas MBG Kabupaten Batang Suyono mengonfirmasi bahwa seluruh distribusi makanan bergizi ke sekolah-sekolah dihentikan sementara selama masa liburan. “Mulai hari ini kan tidak beroperasi karena hari libur sekolah anak-anak. Berarti sepanjang libur ini tidak ada pengiriman MBG untuk anak-anak didik,” katanya saat ditemui di Kantornya, Selasa (23/6/2026). Kekosongan aktivitas ini dinilai sebagai waktu yang tepat untuk memanggil para koordinator wilayah (Korwil) SPPG guna merespons dinamika yang berkembang di tengah masyarakat. “Ya tentu saya akan evaluasi sebagai Kasatgas. Nanti akan memang mengundang Korwil SPPG itu, saya ajak bicara apa yang harus dilakukan di tengah-tengah gejolak masyarakat yang seperti ini,” jelasnya. Evaluasi mendalam akan menyasar kepatuhan terhadap petunjuk teknis (juknis), kesiapan sarana prasarana, serta legalitas operasional SPPG yang sudah berjalan maupun yang sedang dibangun. Suyono menegaskan, pemda tidak akan menoleransi kehadiran unit baru yang nekat beroperasi tanpa memenuhi standar regulasi pusat. “Usahakan jangan ada penambahan yang baru yang tidak sesuai dengan juknisnya juga harus dievaluasi, sehingga tidak terjadi hal-hal yang sifatnya tidak sesuai dengan aturan,” tegasnya. Terkait kelengkapan syarat administrasi dan pemenuhan standar sanitasi, Satgas mengaku masih mengompilasi data dari instansi terkait. Ada kiriman dari Dinas Kesehatan, tapi saya belum baca secara keseluruhan. “Langkah evaluasi ini kian mendesak setelah Satgas MBG mengonfirmasi adanya 11 unit SPPG yang saat ini mogok alias tidak beroperasi dari total sekitar 97 SPPG yang tersebar di Kabupaten Batang,” ungkapnya. Suyono juga menyebutkan, penyebab utama mandeknya belasan unit tersebut menjadi salah satu agenda prioritas yang akan dibongkar selama masa libur sekolah ini. “Melalui perbaikan menyeluruh ini, Pemkab Batang menargetkan Program Makan Bergizi Gratis dapat bergulir lebih tertib, higienis, dan siap memberikan manfaat optimal begitu para siswa kembali masuk sekolah,” pungkasnya. (MC Batang, Jateng/Edo/Jumadi)",327,https://berita.batangkab.go.id/detail/15488/libur-sekolah-wabup-batang-evaluasi-perizinan-dan-sanitasi-program-mbg,https://berita.batangkab.go.id/storage/berita/15488-16345-libur-sekolah-wabup-batang-evaluasi-perizinan-dan-sanitasi-program-mbg.jpeg,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://berita.batangkab.go.id&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,berhasil,2026-06-23 07:37:15,"Batang – Masa libur sekolah menjadi momentum krusial bagi Pemerintah Kabupaten Batang untuk membenahi karut-marut pelaksanaan Program Makan Bergizi Gratis (MBG). Satgas MBG Kabupaten Batang membidik evaluasi total terhadap operasional Satuan Pelayanan Pemenuhan Gizi (SPPG), mulai dari masalah perizinan, standar sanitasi, hingga penghentian operasional belasan unit SPPG. Wakil Bupati Batang sekaligus Ketua Satgas MBG Kabupaten Batang Suyono mengonfirmasi bahwa seluruh distribusi makanan bergizi ke sekolah-sekolah dihentikan sementara selama masa liburan. “Mulai hari ini kan tidak beroperasi karena hari libur sekolah anak-anak. Berarti sepanjang libur ini tidak ada pengiriman MBG untuk anak-anak didik,” katanya saat ditemui di Kantornya, Selasa (23/6/2026). Kekosongan aktivitas ini dinilai sebagai waktu yang tepat untuk memanggil para koordinator wilayah (Korwil) SPPG guna merespons dinamika yang berkembang di tengah masyarakat. “Ya tentu saya akan evaluasi sebagai Kasatgas. Nanti akan memang mengundang Korwil SPPG itu, saya ajak bicara apa yang harus dilakukan di tengah-tengah gejolak masyarakat yang seperti ini,” jelasnya. Evaluasi mendalam akan menyasar kepatuhan terhadap petunjuk teknis (juknis), kesiapan sarana prasarana, serta legalitas operasional SPPG yang sudah berjalan maupun yang sedang dibangun. Suyono menegaskan, pemda tidak akan menoleransi kehadiran unit baru yang nekat beroperasi tanpa memenuhi standar regulasi pusat. “Usahakan jangan ada penambahan yang baru yang tidak sesuai dengan juknisnya juga harus dievaluasi, sehingga tidak terjadi hal-hal yang sifatnya tidak sesuai dengan aturan,” tegasnya. Terkait kelengkapan syarat administrasi dan pemenuhan standar sanitasi, Satgas mengaku masih mengompilasi data dari instansi terkait. Ada kiriman dari Dinas Kesehatan, tapi saya belum baca secara keseluruhan. “Langkah evaluasi ini kian mendesak setelah Satgas MBG mengonfirmasi adanya 11 unit SPPG yang saat ini mogok alias tidak beroperasi dari total sekitar 97 SPPG yang tersebar di Kabupaten Batang,” ungkapnya. Suyono juga menyebutkan, penyebab utama mandeknya belasan unit tersebut menjadi salah satu agenda prioritas yang akan dibongkar selama masa libur sekolah ini. “Melalui perbaikan menyeluruh ini, Pemkab Batang menargetkan Program Makan Bergizi Gratis dapat bergulir lebih tertib, higienis, dan siap memberikan manfaat optimal begitu para siswa kembali masuk sekolah,” pungkasnya. (MC Batang, Jateng/Edo/Jumadi)",batang – masa libur sekolah menjadi momentum krusial bagi pemerintah kabupaten batang untuk membenahi karutmarut pelaksanaan program makan bergizi gratis mbg satgas mbg kabupaten batang membidik evaluasi total terhadap operasional satuan pelayanan pemenuhan gizi sppg mulai dari masalah perizinan standar sanitasi hingga penghentian operasional belasan unit sppg wakil bupati batang sekaligus ketua satgas mbg kabupaten batang suyono mengonfirmasi bahwa seluruh distribusi makanan bergizi ke sekolahsekolah dihentikan sementara selama masa liburan “mulai hari ini kan tidak beroperasi karena hari libur sekolah anakanak berarti sepanjang libur ini tidak ada pengiriman mbg untuk anakanak didik” katanya saat ditemui di kantornya selasa kekosongan aktivitas ini dinilai sebagai waktu yang tepat untuk memanggil para koordinator wilayah korwil sppg guna merespons dinamika yang berkembang di tengah masyarakat “ya tentu saya akan evaluasi sebagai kasatgas nanti akan memang mengundang korwil sppg itu saya ajak bicara apa yang harus dilakukan di tengahtengah gejolak masyarakat yang seperti ini” jelasnya evaluasi mendalam akan menyasar kepatuhan terhadap petunjuk teknis juknis kesiapan sarana prasarana serta legalitas operasional sppg yang sudah berjalan maupun yang sedang dibangun suyono menegaskan pemda tidak akan menoleransi kehadiran unit baru yang nekat beroperasi tanpa memenuhi standar regulasi pusat “usahakan jangan ada penambahan yang baru yang tidak sesuai dengan juknisnya juga harus dievaluasi sehingga tidak terjadi halhal yang sifatnya tidak sesuai dengan aturan” tegasnya terkait kelengkapan syarat administrasi dan pemenuhan standar sanitasi satgas mengaku masih mengompilasi data dari instansi terkait ada kiriman dari dinas kesehatan tapi saya belum baca secara keseluruhan “langkah evaluasi ini kian mendesak setelah satgas mbg mengonfirmasi adanya unit sppg yang saat ini mogok alias tidak beroperasi dari total sekitar sppg yang tersebar di kabupaten batang” ungkapnya suyono juga menyebutkan penyebab utama mandeknya belasan unit tersebut menjadi salah satu agenda prioritas yang akan dibongkar selama masa libur sekolah ini “melalui perbaikan menyeluruh ini pemkab batang menargetkan program makan bergizi gratis dapat bergulir lebih tertib higienis dan siap memberikan manfaat optimal begitu para siswa kembali masuk sekolah” pungkasnya mc batang jatengedojumadi,batang masa libur sekolah jadi momentum krusial kabupaten batang benah karutmarut laksana satgas kabupaten batang bidik evaluasi total operasional satu layan penuh gizi sppg mulai masalah izin standar sanitasi hingga henti operasional bas unit sppg wakil bupati batang sekaligus ketua satgas kabupaten batang suyono konfirmasi seluruh distribusi makan sekolahsekolah henti lama masa libur mulai hari kan operasi hari libur sekolah anakanak arti panjang libur kirim anakanak didik kata temu kantor selasa kosong aktivitas nilai waktu tepat panggil koordinator wilayah korwil sppg respons dinamika kembang tengah masyarakat ya saya evaluasi kasatgas memang undang korwil sppg saya ajak bicara apa harus laku tengahtengah gejolak masyarakat seperti ini jelas evaluasi dalam akan sasar patuh tunjuk teknis juknis kesiap sarana prasarana legalitas operasional sppg sudah jalan maupun sedang bangun suyono tegas pemda akan toleransi hadir unit baru nekat operasi penuh standar regulasi pusat usaha jangan tambah baru sesuai juknisnya harus evaluasi tidak jadi halhal sifat tidak sesuai atur tegas kait lengkap syarat administrasi penuh standar sanitasi satgas aku kompilasi data instansi kait kirim dinas sehat saya baca seluruh langkah evaluasi kian desak satgas konfirmasi ada unit sppg saat mogok alias tidak operasi total sppg sebar kabupaten batang ungkap suyono sebut sebab utama mandek bas unit sebut jadi salah satu agenda prioritas akan bongkar lama masa libur sekolah lalu baik seluruh pemkab batang target gulir lebih tertib higienis siap beri manfaat optimal para siswa masuk sekolah pungkas batang jatengedojumadi,Netral,1
